ID,Work Item Type,Title,State,Effort,Value Area,Iteration Path,Tags
"546","Product Backlog Item","als ervaringsdeskundige wil ik mijn profiel kunnen beheren","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint3",
"369","Product Backlog Item","Als Beheerder wil ik een dashboard waar ik inzicht krijg van mijn dag taken zodat ik verder kan.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"390","Product Backlog Item","Als ervaringsdeskundigen wil ik mijn profiel kunnen aanpassen zodat ik mijn informatie kan bijwerken","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"389","Product Backlog Item","Als ervaringsdeskundigen wil ik kunnen inloggen zodat ik mijn gegevens kan zien","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"388","Product Backlog Item","Als Beheerder wil ik dat er een aantal onderzoek ’s statussen zijn Nieuw, Goedgekeurd, Afgekeurd en Gesloten zodat het voor alle partijen duidelijk is hoe het er voor staat met de aanvraag.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint2",
"387","Product Backlog Item","Als Organisatie wil ik een lijst met alle non-actieve onderzoeken zodat ik deze kan updaten en of deleten.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"386","Product Backlog Item","Als Organisatie wil ik een lijst kunnen ophalen met de actieve onderzoeken en de Ervaringsdeskundigen die daar bij horen zodat ik weet hoe het ervoor staat.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"383","Product Backlog Item","Als Organisatie wil ik een formulier in kunnen vullen waar ik alle belangrijke informatie kan invullen Inc. Filters zodat het duidelijk is voor de Beheerder en de Ervaringsdeskundigen.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"382","Product Backlog Item","Als Beheerder wil ik dat ik na het aanmelden van een bedrijf een API-sleutel kunnen aanvragen en doorsturen naar het bedrijf zodat zij hun aanvragen kunnen sturen.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"381","Product Backlog Item","Als Beheerder wil ik dat Organisaties zich via ons aanmelden/registreren zodat wij overzicht houden over wat voor bedrijven Onderzoeken kunnen aanvragen.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"380","Product Backlog Item","Als Beheerder wil ik dat ik kan controleren of de aanmelding/registratie toegang krijgt tot de webapplicatie.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"379","Product Backlog Item","Als Beheerder wil ik dat Ervaringsdeskundigen zich bij ons aanmelden zodat wij de beperking en Overige informatie kunnen instellen bij de gebruiker.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"378","Product Backlog Item","Als Organisatie wil ik Aan de hand van een API call een verzoek sturen voor een onderzoek zodat we op een betere manier onderzoeken kunnen maken ","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"377","Product Backlog Item","Als Organisatie wil ik de status van mijn aanvraag kunnen zien zodat ik weet hoe het onderzoek er voor staat.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"376","Product Backlog Item","Als Organisatie wil ik mij kunnen registreren zodat ik mijn websites kan laten onderzoeken door Ervaringsdeskundigen.","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"373","Product Backlog Item","Als beheerder wil ik nieuwe onderzoeks aanvragen kunnen beoordelen en openstellen","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"371","Product Backlog Item","Als beheerder wil ik gebruikers informatie kunnen aanpassen","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"304","Product Backlog Item","als ervaringsdeskundige wil ik kunnen uitschrijven voor onderzoeken","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint2",
"286","Product Backlog Item","als ervaringsdeskundige wil ik mijn profiel kunnen beheren","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint2",
"282","Product Backlog Item","als ervaringsdeskundige wil ik kunnen registreren","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"277","Product Backlog Item","als organisatie wil ik zien wie een onderzoeksaanvraag heeft afgekeurd","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"276","Product Backlog Item","als beheerder wil ik onderzoeksaanvragen keuren","New",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
"275","Product Backlog Item","als beheerder wil ik aanmeldingen goed kunnen keuren","Committed",,"Business","Werkplaatsen_jaar1\Werkplaats3\Sprint 1",
